id,id_kecamatan,id_kabkota,id_provinsi,nama
11010101,110101,1101,11,"KELURAHAN/DESA LAFAKHA"
11010102,110101,1101,11,"KELURAHAN/DESA LAMEREM"
11010103,110101,1101,11,"KELURAHAN/DESA LANGI"
11010104,110101,1101,11,"KELURAHAN/DESA LEWAK"
11010105,110101,1101,11,"KELURAHAN/DESA LHOK DALAM"
11010106,110101,1101,11,"KELURAHAN/DESA LHOK PAOH"
11010107,110101,1101,11,"KELURAHAN/DESA LUBUK BAIK"
11010108,110101,1101,11,"KELURAHAN/DESA SERAFON"
11010201,110101,1101,11,"KELURAHAN/DESA ALONG JAYA"
11010202,110101,1101,11,"KELURAHAN/DESA GANANG PUSAKO"
